category,fact,source_url
process,I. Object The objective of the scheme is to provide fina ncial assistance to the Scheduled Caste students studying at post matriculation or post-secondar y stage to enable them to complete their education.,https://cdnbbsr.s3waas.gov.in/s3229754d7799160502a143a72f6789927/uploads/2023/02/2023020129-1.pdf
process,II. Scope These scholarships are available for studies in  India only and are awarded by the government of the State/Union Territory to which the applican t actually belongs i.e. permanently settled.,https://cdnbbsr.s3waas.gov.in/s3229754d7799160502a143a72f6789927/uploads/2023/02/2023020129-1.pdf
documents,"III. Conditions of Eligibility i. ii. The scholarships are open to nationals of India. These scholarships will be given for the study of all recognized post-matriculation or post- secondary courses pursued in recognized inst itutions with the following exceptions: ""Scholarships are not awarded for training course s like Aircraft Maintenance Engineer's Courses and Private Pilot license Courses. Courses at Trai ning - Ship Dufferin (Now Rajendra), courses of training at the Military College, Dehradun, course s at Pre-examination Training Centres of all India and State levels."" iii. Only those candidates who belong to Schedule d Castes so specified in relation to the State/Union Territory to which the applicant actually belongs i.e. permanently settled and who have passed the Matriculation or Higher Secondary or any higher examination of a recognised University or Board of Secondary Education, will be eligible. iv. Candidates who after passing one stage of education are studying in the same stage of education in different subject e.g. I.Sc. after I.A. or B.Com. after B.A. or M.A. in other subject will not be eligible. v. Students who, after having completed their educational career in one professional line, e.g. L.L.B. after B.T./B.Ed. will not be eligible. From the academic year 1980-81, studies in two professional courses are allowed. vi. Students studying in Class XI of the Higher Seco ndary School courses of the XII Class of the Multipurpose High School will not be eligible for it being a continuous school course. However, in cases where Xth class examination of such co urses is treated as equivalent to Matriculation and students who after passing Xth class join othe r courses, such students will be treated as post-matric students and will be eligible for the award of scholarships. vii. Students pursuing Post Graduate courses in medicine will be eligible if they are not allowed to practice during the period of their course. viii. Students who after failing or passing the under graduate/post-graduate examinations in Arts/Science/Commerce join any recognised professional or Technical certificate/diploma/degree courses will be awar ded scholarships if otherwise eligible. No subsequent failure will be condoned except courses in Group 'I'. ix. Students who pursue their studies through correspondence courses are also eligible. The term correspondence includes distant and continuing education. x. Employed students whose income combined with the income of their parents/guardians does not exceed the maximum prescr ibed income ceiling are made  eligible to post-matric scholarships to the extent of reimbursement of all compulsorily payable non-refundable fees. xi. All children of the same parents/guardians will be entitled to receive benefits of the scheme. xii. A scholarship holder under this scheme will not ho ld any other scholarship/stipend. If awarded any other scholarship/stipend, the student can exercise his/her option for either of the two scholarships/stipends, whichever is more benefici al to him/her and should inform the awarding authority through the Head of the Institution about the option made. No scholarship will be paid to the students under this scheme from the date he/she accepts another scholarship/stipend. The student can however, accept free lodging or a grant or adhoc monetary help from the State Government or any other source for the purch ase of books, equipment or for meeting the expenses on board and lodging in addition to the scholarship amount paid under this scheme. xiii. Scholarship holders who are receiving coaching in  any of the pre-examination training centres with financial assistance from the Central Government/ State Government will not be eligible for stipend under the coaching schemes for the duration of the coaching programme. Note 1:  It is mentioned under the item III (condition of eligibility) of this scheme that the scholarship will be given for th e study of all recognised post-matriculation or post-secondary courses pursued in recognised institutions, the list of courses grouped (I to IV) is only illustrative and not exhaustive. The State Governments/Un ion Territory Administrations are, thus, themselves competent to decide the appropriate grouping of courses at their level as advised vide this Ministry's letter No.11017/13/88-Sch.Cell, dated 3.8.1989.",https://cdnbbsr.s3waas.gov.in/s3229754d7799160502a143a72f6789927/uploads/2023/02/2023020129-1.pdf
amount,"IV. Means Test Scholarships will be paid to the students whos e parents/guardians' income from all sources does not exceed Rs. 2,50,000/- (Rupees Two lacs Fifty thousand only). Note 1:  So long as either of the parents (or husband in the case of marri ed unemployed girl student) is alive, only income of the parents/husband, as the ca se may be, from all sources has to be taken into account only and of no other member even though they may be earning. In the form of income declaration, income is to be declared  on this basis. Only in the case where both the parents (or husband in the case of married but unemployed girl student) have died, the income of the guardian who is supporting the student in hi s/her studies has to be taken. Such students whose parent's income is aff ected due to unfortuna te death of one of earning parents and resultantly comes within the income ceiling pres cribed under the scheme, shall become eligible for scholarship, subject to their fulfilling other c onditions of eligibility, from the month in which such sad incidence takes place. Applications for scholarships from such students can be considered even after lapse of last date of receipt of applications, on compassionate grounds. Note 2: House rent allowance received by the parent s of a student shall be exempted from the computation of 'income' if the same has been permitted to be exempted for the purpose of Income tax. Note 3:  Income certificate is required to be take n once only i.e. at the time of admission to courses which are continuing for more than one year. Note 4:  The revised income ceiling has been further upgraded, after taking into account Consumer Price Index for Industrial worker s upto October 2009. Income Ceiling would be revised once in every two years linking it with Consumer Price Index for Industrial Workers for the month of October of the year , preceding the year of revision and will be made effective from April.",https://cdnbbsr.s3waas.gov.in/s3229754d7799160502a143a72f6789927/uploads/2023/02/2023020129-1.pdf
amount,"V. Value of Scholarship The value of scholarship includes the following for complete duration of the course:- i. maintenance allowance, ii. reimbursement of compulsory non-refundable fees, iii. study tour charges, iv. thesis typing/printing charges for Research Scholars, v. book allowance for students pursuing correspondence courses, vi. book bank facility for specified courses, and vii. additional allowance for students with disabilities, for the complete duration of the course. The details are as follows: (i) Maintenance allowance Groups Group I (i)Degree and Post Graduate level courses in Medicine (Allopathic, Indian and other recognized systems of medicines), Engineering, Technology, Planning, Architecture, Design, Fashion Technology, Agriculture, Veterinary & Allied Sciences, Management, Business Finance /Administration, Computer Science/ Applications. (ii) Commercial Pilot License (including helicopter pilot and multiengine rating) course. (iii) Post Graduate Diploma courses in various branches of management & medicine. (iv) C.A./I.C.W.A./C.S./I.C.F.A. etc. (v) M. Phil., Ph.D. and Post Doctoral Programmes (D. Litt., D.Sc. etc.), Group I, Group II and Group III courses (vi) L.L.M. Group II (i) Professional Courses leading to Degree, Diploma, Certificate in areas like Pharmacy (B Pharma), Nursing(B Nursing), LLB, BFS, other para- medical branches like rehabilitation, diagnostics etc., Mass Communication, Hotel Management & Catering, Travel/Tourism/Hospitality Management, Interior Decoration, Nutrition & Dietetics, Commercial Art, Financial Services (e.g. Banking, Insurance, Taxation etc.) for which entrance qualification is minimum Sr. Secondary (10+2). (ii) Post Graduate courses not covered under Group I eg. MA/M Sc/M.Com/M Ed./M. Pharma etc. Group III All other courses leading to a graduate degree not covered under Group I & II eg. BA/B Sc/B Com etc. Group IV All post-matriculation level non-degree courses for which entrance qualification is High School (Class X), e.g.senior secondary certificate (class XI and XII); both general and vocational stream, ITI courses, 3 Rate of Maintenance allowance (in Rupees per month) DayHostellers Scholars 1200 550 820 530 570 300 380 230 year diploma courses in Polytechnics, etc. Note 1: Commercial Pilot License Course (CPL) CPL course would include Commercial Helicopter Pilot License (CHPL) and multi-engine rating training on A-320 and similar airc rafts even after the candidate has got scholarship for multi- engine rating training with th e CPL course. CPL course is c overed under Group 'I'. The number of awards for CPL will be 50 per annum. C onsequent upon receiving applications from concerned students, concerned State Governments/UT Admns.  should scrutinize them for determining their eligibility under the scheme a nd thereafter recommend the number of eligible applicants for CPL training (with their names) each financial year to the Ministry of Social Justice & Empowerment (their applications need not be sent to the Ministry). Upon receipt of such information, Ministry of Social Justice & Empowerment will give clearance to the concerned States/UTs on the firs t-come-first served basis upto 50 awards for th e country as a whole. Selected candidates are provided a maintenance allowance at the rates applicable to Group 'I' courses i.e. Rs.1200 per month for hostlers and Rs.550 per month  for day scholars. In addition all compulsory fees, including flight charges are to be provided as fee. Note 2: Normally the term 'Hostel' is applicable to a common residential building and a common mess for the students run under the supervision of the educational institution authorities. In case the college authorities are unable to provide acc ommodation in the college Hostel, an approved place of residence can also be treated as Hostel for the purpose of this scheme. The place will be approved by the Head of the Institution after du e inspection and keeping in view the rules and regulations laid down by the University, if any. In  such case, a certificate to the effect that the student is residing in an approved place of residence, as he is unable to get accommodation in the college hostel should be furnished by the Head of the Institution. It is further clarified that such  deemed hostels should consist of such acco mmodation as is hired at least by a group of 5(five) students living together, usually with common mess arrangements. Note 3: Scholars who are entitled to  free board and/or lodging will be paid maintenance charge at 1/3rd at Hostellers' rate. (ii) Additional Allowances for SC students with disabilities A. Reader Allowance for blind Scholars Level of Course Reader Allowance (Rs. Per month) Group I,II 240 Group III 200 Group IV 160 B. Provision of transport allowance upto Rs.160/- per month for disabled students, if such students do not reside in the hostel, which is within the premises of educational institution. The disability as per the Persons with Disabilities (Equal O pportunities, Protection of Rights and Full Participation) Act, 1995 is defined as blindness, low-vision, leprosy-cured, hearing impairment, locomotor disability, mental retardation and mental illness. C. Escort Allowance of Rs.160/- per month for severally handicapped day scholar students with low extremity disability. D. Special Pay of Rs.160/- per month is admissible to any employee of the hostel willing to extend help to a severely orthopaedically handicapped student residing in hostel of an educational institution, who may need the assistance of a helper. E. Allowance of Rs.240/- per month towards extra co aching to mentally retarded and mentally ill students. The provisions in (B) to (D) will also apply to such leprosy-cured students. Note 1: The disabled students belonging to Scheduled Castes covered under the Scheme can also get such additional benefits from other Schemes, which are not covered under the scheme. Note 2: The disability as defined under the said Ac t has to be certified by competent medical authority of the State Govt./UT Administration (iii) Fees Scholars will be paid enrolment/registration, tu ition, games, Union, Libr ary, Magazine, Medical Examination and such other fees compulsorily  payable by the scholar to the institution or University/Board. Refundable deposits like cauti on money, security deposit will, however, be excluded. Note : Compulsory non-refundable f ee charged by recognised institu tions against free and paid seats of recognised courses can be fully reimbu rsed as per the fee structure approved by the competent State/Central Government authority. However, while sanctioni ng scholarship against paid seats, State Governments should make the income verification compulsory. (iv) Study Tours Study tour charges upto a maxi mum of Rs.1600 per annum, limite d to the actual expenditure incurred by the student on transportation charge s etc. will be paid to the scholars studying professional and technical courses, provided that the head of the institution certifies that the study tour is essential for the scholar for completion of his/her course of study. (v) Thesis Typing/Printing Charges Thesis typing/printing charges upto a maximum of Rs.1600 will be paid to  research scholars on the recommendation of the Head of the Institution. (vi) Book Allowance for Students pursuing Correspondence /Distance Education Courses The students pursuing such courses are also el igible for an annual allowance of Rs.1200/- for essential/prescribed books, besides reimbursement of course fees. (vii) Book Banks 1. 1. Book Banks are to be set up in all the Medica l, Engineering, Agriculture, Law and Veterinary Degree Colleges and Institutes imparting Charte red Accountancy, MBA and alike Management courses and Polytechnics where Scheduled Cast e students are in receipt of Post Matric Scholarship. The set of text books will be purc hased for 2 such SC students at various stages except in respect of Post-graduate courses and Chartered Accountancy where it will be one set for each student. However, the ratio of sets and students will have to be adjusted to the total number of sets that could be procured within  the total resources allocated to the State concerned. 2. 2. The details of courses covered for set ting up of Book Banks, ceiling of admissible expenditure per set of books and sharing criteria are given below: S.No. 1. 2. 3. 4. 5. Courses Degree courses in Medical/Engineering Degree courses in veterinary Degree courses in Agriculture Polytechnics A. Post Graduate courses in Medical, Engineering, Agriculture and veterinary courses and such other technical/alike courses as are approved by the Universities/institutes of higher learning. B. Law courses, L.L.B. (3  years and 5 years) LL.M. (2 years) C. Chartered Accountancy (intermediate and final) D. M.B.A. (2 years ) and similar courses E. Bio-Sciences Sharing criteria 1 set for 2 students -do- -do- -do- One set per student Ceiling per set (or actual cost whichever is less) (In rupees) 7,500 5,000 4,500 2,400 5,000 3. For storage of books and contingencies etc., th e cost of steel almirah for storing books of each Book Bank including contingencies like tr ansportation etc. the following expenses are admissible: i. Rs. 2000 or actual cost whichever is less. ii. 5% of the grant may be earmarked for expenses on binding, stiching etc. Note : The said sets of books also include Br aille Books, Talking Books. Cassettes for the visually Handicapped students. 4. The Book Banks are to be set up in all the reco gnised colleges/institutions where these courses are being offered as recognised courses. 5. Purchase of books for these Book Banks will be re stricted to the prescribed text books for the entire courses. 6. The State Governments may constitute Expert Groups consisting of members from selected colleges/educational institutions of different regions to decide the adequate number of text books in a set (not reference books) required for each course. 7. The life period of one set of books has been fi xed at 3 years. Thereafter the books may be disposed of by the institutions in the same ma nner as the books in the library subject to the guidelines, if any, of the State Government/UT Administration in this regard. 8. These books are to be supplied to SC students in installments, depending on the course, semester structure etc. 9. The following rules shall govern the distribution of books to the students: . Each SC student will be provided with an identity card for this purpose. i. Each SC student will be required to subm it requisition for borrowing books from the Book Bank in a form to be provided for this purpose. ii. The books would be returned to the Book Bank at the end of each term. The Principal of the college/institution will make every e ffort to ensure that those students who complete their course or those who drop out in the middle, return the books belonging to the Book Bank iii. It is the responsibility of the student concern to maintain the books supplied to them from the Book Bank, in good condition. iv. Any case of loss or damage to the books wo uld attract penalty. In case of serious damage or loss of books, the student concerne d will have to bear the cost of the book.",https://cdnbbsr.s3waas.gov.in/s3229754d7799160502a143a72f6789927/uploads/2023/02/2023020129-1.pdf
eligibility,VI. Selection of Candidates i. All the eligible Scheduled Caste candidates will be given scholarships subject to the application of Means Test prescribed in this Scheme. ii. Candidates belonging to one State but studying in other State will be awarded scholarships by the State to which they belong and will submit their applications to the competent authorities in that State. In the matter of exemption from fees  or other concessions also they will be treated as if they were studying in their own State.,https://cdnbbsr.s3waas.gov.in/s3229754d7799160502a143a72f6789927/uploads/2023/02/2023020129-1.pdf
documents,"VII. Duration and Renewal of Awards i. The award once made will be tenable from the stage at which it is given to the completion of course subject to good conduct and regularity in attendance. It will be renewed from year to year provided that within a course which is continuous for a number of years, the scholar secures promotion to the next higher class irrespective of the fact whether such examinations are conducted by a University or the Institution. ii. If a Scheduled Caste scholar pursuing Group I cour ses fails in the examination for the first time, the award may be renewed. For second and subsequent failure in any class, the student shall bear his/her own expenses until he/she secures promotion to the next higher class. iii. If a scholar is unable to appear in the annual ex amination owing to illness and or on account of any other unforeseeable event, the award may be renewed for the next academic year on submission of medical certificate and/or other required sufficient proof to the satisfaction of the Head of the Institution and his/her certifying that the scholar would have passed had he appeared in the examination. iv. If according to the Regulations of a University/Institution, a student is promoted to the next higher class even though he/she may not have actually passed in lower class and is required to take examination of the junior class again after sometime, he/she will be entitled to scholarship for the class to which he/she is promoted if the student is otherwise eligible for scholarship.",https://cdnbbsr.s3waas.gov.in/s3229754d7799160502a143a72f6789927/uploads/2023/02/2023020129-1.pdf
amount,"VIII. Payment i. Maintenance allowance is payable from 1 st April or from the month of admission, whichever is later, to the month in which the examinations ar e completed, at the end of the academic year (including maintenance allowance during holiday s), provided that if the scholar secures admission after the 20th day of a month, the amou nt will be paid from the month following the month of admission. ii. In case of renewal of scholarships awarded in th e previous years, maintenance allowance will be paid from the month following the month upto whic h scholarship was paid in the previous year, if the course of study is continuous. iii. The Government of the State/Union Territory Administration, to which they belong, in accordance with the procedure laid down by them  in this regard, will pay the scholarship money to the selected students. iv. Scholarship will not be paid for the period of in ternship/housemanship in the M.B.B.S. course or for a practical training in other course if the student is in receipt of some remuneration during the internship period or some allowance/stipend during the practical training in other course.",https://cdnbbsr.s3waas.gov.in/s3229754d7799160502a143a72f6789927/uploads/2023/02/2023020129-1.pdf
documents,"IX. MODE OF DISBURSAL OF SCHOLARSHIP In order to ensure timely paym ent of scholarship amount to the beneficiarie s, the State Government/UT administrations are requested to avoid cash paym ent of scholarship amount and are required to issue instructions  to all concerned that payment of scholarship should be made to beneficiaries through their accounts in post offices/banks with phased transition to Smart Cards.",https://cdnbbsr.s3waas.gov.in/s3229754d7799160502a143a72f6789927/uploads/2023/02/2023020129-1.pdf
process,"X. Other Conditions for the Award i. The scholarship is dependent on the satisfactory progress and conduct of the scholar. If it is reported by the Head of the Institution at any ti me that a scholar has by reasons of his/her own act of default failed to make satisfactory progress or has been guilty of misconduct such as resorting to or participating in strikes, irregularity in attendance without the permission of the authorities concerned etc., the authority sanctioning the scholarship may either cancel the scholarships or stop or withhold further payment for such period as it may think fit. ii. If a student is found to have obtained a scholars hip by false statements, his/her scholarship will be cancelled forthwith and the amount of the scholarship paid will be recovered, at the discretion of the concerned State Government. The student concerned will be blacklisted and debarred for scholarship in any scheme forever. iii. A scholarship awarded may be cancelled if the scholar changes the subject of the course of study for which the scholarship was originally awarded or changes the Institution of study, without prior approval of the State Government. The Head of the Institution shall report such cases to them and stop payment of the scholars hip money. The amount already paid may also be recovered at the discretion of the State Government. iv. A scholar is liable to refund the scholarship amount at the discretion of the State Government, if during the course of the year, the studies for which the scholarship has been awarded, is discontinued by him/her. v. The provisions of this scheme can be changed at anytime at the discretion of the Government of India.",https://cdnbbsr.s3waas.gov.in/s3229754d7799160502a143a72f6789927/uploads/2023/02/2023020129-1.pdf
